ZipCode,City,SizeRank,2015,2015Weight,2016,2016Weight,2017,2017Weight,2018,2018Weight,2019,2019Weight
28625,Statesville,88,138743,1,144265,2,153437,3,158333,4,167047,5
28214,Charlotte,89,133671,1,143801,2,160396,3,178949,4,193725,5
27217,Burlington,90,81789,1,84964,2,92574,3,98994,4,106940,5
28303,Fayetteville,91,108830,1,107178,2,108781,3,109951,4,115376,5
28792,Hendersonville,92,169935,1,183251,2,199857,3,221192,4,235784,5
28405,Wilmington,93,172724,1,181158,2,193772,3,205870,4,215482,5
28348,Hope Mills,94,137256,1,136981,2,141026,3,142692,4,148530,5
27534,Goldsboro,95,136088,1,143165,2,144001,3,145797,4,148969,5
28677,Statesville,96,110634,1,115995,2,127375,3,134658,4,142929,5
27540,Holly Springs,97,277909,1,293280,2,312063,3,326030,4,337151,5
27104,Winston-Salem,98,196503,1,200746,2,209708,3,223324,4,232248,5
28031,Cornelius,99,257856,1,271996,2,288073,3,305128,4,315970,5
27302,Mebane,100,166733,1,170055,2,179961,3,193093,4,201147,5
27511,Cary,101,230659,1,247093,2,268185,3,286787,4,303055,5
28079,Indian Trail,102,205532,1,218356,2,233592,3,250775,4,263369,5
28052,Gastonia,103,71351,1,76418,2,88737,3,101775,4,117987,5
28358,Lumberton,104,76261,1,79799,2,82251,3,85878,4,88129,5
28409,Wilmington,105,248124,1,257944,2,269967,3,284481,4,294213,5
28211,Charlotte,106,407047,1,440091,2,468817,3,505665,4,521853,5
27614,Raleigh,107,371344,1,381744,2,394523,3,405229,4,418348,5
28734,Franklin,108,147077,1,151020,2,155433,3,161867,4,168650,5
28270,Charlotte,109,309678,1,329924,2,351874,3,374045,4,388118,5
28056,Gastonia,110,159344,1,166695,2,181872,3,198655,4,214531,5
27804,Rocky Mount,111,114577,1,117103,2,120185,3,119771,4,127628,5
27253,Graham,112,134211,1,134221,2,142894,3,153252,4,160253,5
28752,Marion,113,112592,1,119208,2,126742,3,131163,4,139488,5
27205,Asheboro,114,127180,1,131175,2,137948,3,144279,4,154071,5
27455,Greensboro,115,195455,1,199218,2,208879,3,218051,4,227713,5
27517,Chapel Hill,116,370357,1,377432,2,390878,3,406821,4,422678,5
28209,Charlotte,117,296391,1,323622,2,351526,3,380878,4,396893,5
28560,New Bern,118,126189,1,129555,2,134126,3,139320,4,146613,5
27332,Sanford,119,141995,1,146642,2,151689,3,157662,4,164029,5
28278,Charlotte,120,240809,1,254023,2,272762,3,291192,4,302689,5
27545,Knightdale,121,175469,1,184864,2,196658,3,209500,4,222418,5
27889,Washington,122,119362,1,123833,2,128321,3,132744,4,137163,5
28715,Candler,123,205732,1,217143,2,236319,3,251550,4,263945,5
28146,Salisbury,124,135977,1,143513,2,153389,3,162425,4,170863,5
27012,Clemmons,125,200113,1,205394,2,212655,3,224956,4,235287,5
27278,Hillsborough,126,227537,1,236583,2,250082,3,264975,4,277131,5
27870,Roanoke Rapids,127,72484,1,74422,2,76246,3,79004,4,81028,5
28150,Shelby,128,90498,1,93302,2,96266,3,97368,4,104244,5
28104,Stallings,129,293403,1,311769,2,327496,3,342622,4,358889,5
28086,Kings Mountain,130,98707,1,102505,2,107617,3,115054,4,121717,5
28602,Hickory,131,107943,1,113437,2,119955,3,129045,4,139585,5
28217,Charlotte,132,96948,1,106697,2,121787,3,141973,4,155477,5
28590,Winterville,133,151034,1,152331,2,157546,3,163254,4,170385,5
27514,Chapel Hill,134,367598,1,370510,2,387617,3,409336,4,427815,5
28461,Boiling Spring Lakes,135,259360,1,269480,2,274750,3,289719,4,298214,5
28401,Wilmington,136,117361,1,125740,2,135794,3,149010,4,159921,5
27527,Clayton,137,217133,1,226953,2,238517,3,249502,4,262542,5
28081,Kannapolis,138,109192,1,116015,2,129900,3,143646,4,154572,5
28203,Charlotte,139,358040,1,385105,2,411294,3,445016,4,458633,5
28001,Albemarle,140,102799,1,107240,2,112910,3,119346,4,125657,5
